date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2023-01-01,CAN,W00,0.25880195024840164,12233416.0,3166031.919,12233416.0,kg,8,4,12233416.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,3166031.919,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,12233416.0,0,World,W00,0,World,W00,202301,3166031.919,kg,8,1,20230101,2023,124,Canada,CAN,C,export
2023-01-01,CAN,COL,0.982127638045678,6918.0,6794.359,6918.0,kg,8,4,6918.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,6794.359,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,6918.0,0,World,W00,170,Colombia,COL,202301,6794.359,kg,8,1,20230101,2023,124,Canada,CAN,C,export
2023-01-01,CAN,SLV,0.937578231292517,294.0,275.648,294.0,kg,8,4,294.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,275.648,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,294.0,0,World,W00,222,El Salvador,SLV,202301,275.648,kg,8,1,20230101,2023,124,Canada,CAN,C,export
2023-01-01,CAN,GTM,0.9686792803970223,1612.0,1561.511,1612.0,kg,8,4,1612.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,1561.511,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1612.0,0,World,W00,320,Guatemala,GTM,202301,1561.511,kg,8,1,20230101,2023,124,Canada,CAN,C,export
2023-01-01,CAN,GIN,1.5380548387096775,310.0,476.797,310.0,kg,8,4,310.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,476.797,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,310.0,0,World,W00,324,Guinea,GIN,202301,476.797,kg,8,1,20230101,2023,124,Canada,CAN,C,export
2023-01-01,CAN,MEX,0.17612421923633123,522085.0,91951.813,522085.0,kg,8,4,522085.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,91951.813,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,522085.0,0,World,W00,484,Mexico,MEX,202301,91951.813,kg,8,1,20230101,2023,124,Canada,CAN,C,export
2023-01-01,CAN,PER,1.0023978282329713,1013.0,1015.429,1013.0,kg,8,4,1013.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,1015.429,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1013.0,0,World,W00,604,Peru,PER,202301,1015.429,kg,8,1,20230101,2023,124,Canada,CAN,C,export
2023-01-01,CAN,POL,1.8625,8.0,14.9,8.0,kg,8,4,8.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,14.9,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,8.0,0,World,W00,616,Poland,POL,202301,14.9,kg,8,1,20230101,2023,124,Canada,CAN,C,export
2023-01-01,CAN,TUR,1.9866666666666666,9.0,17.88,9.0,kg,8,4,9.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,17.88,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,9.0,0,World,W00,792,Türkiye,TUR,202301,17.88,kg,8,1,20230101,2023,124,Canada,CAN,C,export
2023-01-01,CAN,USA,0.2618476927985046,11701167.0,3063923.582,11701167.0,kg,8,4,11701167.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,3063923.582,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,11701167.0,0,World,W00,842,USA,USA,202301,3063923.582,kg,8,1,20230101,2023,124,Canada,CAN,C,export
2023-02-01,CAN,W00,0.5120845904177851,12151199.0,6222441.763,12151199.0,kg,8,4,12151199.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,6222441.763,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,12151199.0,0,World,W00,0,World,W00,202302,6222441.763,kg,8,2,20230201,2023,124,Canada,CAN,C,export
