date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2023-01-01,IND,W00,0.6923902158664474,5992600.171,4149217.726,5992600.171,kg,8,4,0.0,N/A,-1,4149217.726,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,5992600.171,0,World,W00,0,World,W00,202301,4149217.726,kg,8,1,20230101,2023,699,India,IND,C,import
2023-01-01,IND,BEL,6.45746800645598,57621.0,372085.764,57621.0,kg,8,4,57621.0,kg,8,372085.764,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,57621.0,0,World,W00,56,Belgium,BEL,202301,372085.764,kg,8,1,20230101,2023,699,India,IND,C,import
2023-01-01,IND,BRA,6.1531329999999995,1000.0,6153.133,1000.0,kg,8,4,1000.0,kg,8,6153.133,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,1000.0,0,World,W00,76,Brazil,BRA,202301,6153.133,kg,8,1,20230101,2023,699,India,IND,C,import
2023-01-01,IND,CHN,0.3967417896346706,5525150.0,2192057.899,5525150.0,kg,8,4,5525150.0,kg,8,2192057.899,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,5525150.0,0,World,W00,156,China,CHN,202301,2192057.899,kg,8,1,20230101,2023,699,India,IND,C,import
2023-01-01,IND,FRA,3.9075509708737863,412.0,1609.911,412.0,kg,8,4,412.0,kg,8,1609.911,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,412.0,0,World,W00,251,France,FRA,202301,1609.911,kg,8,1,20230101,2023,699,India,IND,C,import
2023-01-01,IND,DEU,4.085028735395585,121453.0,496138.995,121453.0,kg,8,4,121453.0,kg,8,496138.995,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,121453.0,0,World,W00,276,Germany,DEU,202301,496138.995,kg,8,1,20230101,2023,699,India,IND,C,import
2023-01-01,IND,IRL,1.3927684210526314,95.0,132.313,95.0,kg,8,4,95.0,kg,8,132.313,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,95.0,0,World,W00,372,Ireland,IRL,202301,132.313,kg,8,1,20230101,2023,699,India,IND,C,import
2023-01-01,IND,ITA,1.3936962777777777,72000.0,100346.132,72000.0,kg,8,4,72000.0,kg,8,100346.132,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,72000.0,0,World,W00,380,Italy,ITA,202301,100346.132,kg,8,1,20230101,2023,699,India,IND,C,import
2023-01-01,IND,JPN,5.4370577358777465,65765.0,357568.102,65765.0,kg,8,4,65765.0,kg,8,357568.102,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,65765.0,0,World,W00,392,Japan,JPN,202301,357568.102,kg,8,1,20230101,2023,699,India,IND,C,import
2023-01-01,IND,MYS,3.9263750608349732,47259.0,185556.559,47259.0,kg,8,4,47259.0,kg,8,185556.559,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,M,Import,,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,47259.0,0,World,W00,458,Malaysia,MYS,202301,185556.559,kg,8,1,20230101,2023,699,India,IND,C,import
